"","name","ranking","lon","lat","type","loctype","address","north","south","east","west","establishment","route","locality","administrative_area_level_2","administrative_area_level_1","country","postal_code","street_number","premise","subpremise","cafe","colloquial_area"
"43","Flinders Street Station",43,144.9670618,-37.8182711,"establishment","geometric_center","flinders st, melbourne vic 3000, australia",-37.8169221197085,-37.8196200802915,144.968410780291,144.965712819709,NA,"Flinders Street","Melbourne","Melbourne City","Victoria","Australia","3000",NA,NA,NA,NA,NA
"44","St Kilda Pier",44,144.9655883,-37.864734,"establishment","rooftop","little blue st kilda pier, pier rd, st kilda vic 3182, australia",-37.8633850197085,-37.8660829802915,144.966937280291,144.964239319708,NA,"Pier Rd","Saint Kilda","Port Phillip City","Victoria","Australia","3182",NA,"Little Blue St Kilda Pier",NA,NA,NA
"45","DFO South Wharf",45,144.9499325,-37.8251623,"establishment","rooftop","20 convention centre pl, south wharf vic 3006, australia",-37.8238133197085,-37.8265112802915,144.951281480291,144.948583519709,NA,"Convention Centre Pl","South Wharf","Melbourne City","Victoria","Australia","3006","20",NA,NA,NA,NA
"46","Cook's Cottage",46,144.979449,-37.814497,"establishment","rooftop","230-298 wellington parade, east melbourne vic 3002, australia",-37.8131480197085,-37.8158459802915,144.980797980291,144.978100019709,NA,"Wellington Parade","East Melbourne","Melbourne City","Victoria","Australia","3002","230-298",NA,NA,NA,NA
"47","Old Treasury Building",47,144.9744379,-37.8131847,"establishment","rooftop","20 spring st, melbourne vic 3000, australia",-37.8118357197085,-37.8145336802915,144.975786880292,144.973088919708,NA,"Spring Street","Melbourne","Melbourne City","Victoria","Australia","3000","20",NA,NA,NA,NA
"48","Hardware Lane",48,144.9612589,-37.8136921,"route","geometric_center","hardware ln, melbourne vic 3000, australia",-37.8123635697085,-37.8150615302915,144.962571030292,144.959873069708,NA,"Hardware Lane","Melbourne","Melbourne City","Victoria","Australia","3000",NA,NA,NA,NA,NA
"49","Prahran Market",49,144.9918509,-37.8463926,"establishment","rooftop","163 commercial rd, south yarra vic 3141, australia",-37.8450436197085,-37.8477415802915,144.993199880292,144.990501919708,NA,"Commercial Road","South Yarra","Stonnington City","Victoria","Australia","3141","163",NA,NA,NA,NA
"50","Docklands Stadium",50,144.9475055,-37.8165647,"establishment","rooftop","740 bourke st, docklands vic 3008, australia",-37.8152157197085,-37.8179136802915,144.948854480291,144.946156519708,NA,"Bourke St","Docklands","Melbourne City","Victoria","Australia","3008","740",NA,NA,NA,NA
"51","AAMI Park",51,144.983782,-37.825132,"establishment","geometric_center","olympic blvd, melbourne vic 3000, australia",-37.8237830197085,-37.8264809802915,144.985130980292,144.982433019709,NA,"Olympic Boulevard","Melbourne","Melbourne City","Victoria","Australia","3000",NA,NA,NA,NA,NA
"52","Emporium Melbourne",52,144.9637872,-37.8124334,"establishment","rooftop","287 lonsdale st, melbourne vic 3000, australia",-37.8110844197085,-37.8137823802915,144.965136180291,144.962438219709,NA,"Lonsdale Street","Melbourne","Melbourne City","Victoria","Australia","3000","287",NA,NA,NA,NA
