stop_name,lat,lon,stop_type
Dudley St/Spring Rd (Hampton East),-37.93994574,145.033813,bus
Wickham Rd/Spring Rd (Hampton East),-37.94259331,145.0331621,bus
Bluff Rd/Wickham Rd (Hampton),-37.94288719,145.0232769,bus
Aquarena/Williamsons Rd (Templestowe Lower),-37.77438561,145.126436,bus
Deakin Ave/Dalton Rd (Lalor),-37.67174442,145.0311632,bus
June St/Bluff Rd (Hampton),-37.94550441,145.022433,bus
Abberfield Nursing Home/Bluff Rd (Sandringham),-37.94805549,145.0219435,bus
Sandringham College Highett/Bluff Rd (Sandringham),-37.95077656,145.0213812,bus
Sandringham College/Bluff Rd (Sandringham),-37.95432383,145.0206486,bus
Holloway Rd/Bluff Rd (Sandringham),-37.95769938,145.0198865,bus
College Gr/Balcombe Rd (Black Rock),-37.97567846,145.0188683,bus
Cullinane St/Balcombe Rd (Black Rock),-37.97603147,145.0211016,bus
Iluka St/Balcombe Rd (Black Rock),-37.97638519,145.0239154,bus
Summerhill Rd/Balcombe Rd (Beaumaris),-37.97668155,145.0265373,bus
Haydens Rd/Balcombe Rd (Beaumaris),-37.97710062,145.0300326,bus
Ruth St/Dalton Rd (Lalor),-37.66987509,145.0314734,bus
Mcnaught St/Balcombe Rd (Beaumaris),-37.97805351,145.0352783,bus
Morey St/Balcombe Rd (Beaumaris),-37.9781401,145.0393859,bus
Thistle St/Mt Alexander Rd (Essendon),-37.75084981,144.9142653,bus
Ryland Ave/Maroondah Hwy (Croydon),-37.79008775,145.2661176,bus
Stirling Rd/Maroondah Hwy (Croydon),-37.788496,145.2706404,bus
Bonnie View Rd/Maroondah Hwy (Croydon North),-37.78108142,145.2880841,bus
Golf Links Rd/Maroondah Hwy (Croydon North),-37.77829267,145.2921565,bus
Queen St/Dalton Rd (Lalor),-37.66805061,145.031771,bus
Primrose Rd/Maroondah Hwy (Croydon North),-37.77464495,145.292933,bus
Dorset (after) Rd/Maroondah Hwy (Croydon),-37.77209932,145.2938885,bus
Exeter Rd/Maroondah Hwy (Croydon),-37.7704751,145.2956175,bus
Golf Driving Range/Maroondah Hwy (Mooroolbark),-37.76702281,145.3011915,bus
Old Melbourne Rd/Maroondah Hwy (Chirnside Park),-37.76546771,145.3045988,bus
252 Maroondah Hwy (Mooroolbark),-37.76421039,145.3067844,bus
Fletcher Rd/Maroondah Hwy (Mooroolbark),-37.76190865,145.3102993,bus
Curtin Ave/Dalton Rd (Lalor),-37.66550757,145.0322123,bus
Powell St/Spring St (Reservoir),-37.72663676,145.0011975,bus
Frankston St/Spring St (Reservoir),-37.72494772,145.0015039,bus
Broughton Ave/Spring St (Reservoir),-37.72369871,145.001719,bus
Reservoir St/Spring St (Reservoir),-37.72161757,145.0028187,bus
Croft Cres/Spring St (Reservoir),-37.72031608,145.0041924,bus
Viola St/Spring St (Reservoir),-37.71878632,145.0053906,bus
Compton St/Edwardes St (Reservoir),-37.7158732,145.0020654,bus
Kelsby St/Edwardes St (Reservoir),-37.71540604,144.9979032,bus
Childs Rd/Dalton Rd (Lalor),-37.66193757,145.0310596,bus
Gilbert Rd/Edwardes St (Reservoir),-37.71605004,144.9928489,bus
Pitt St/Edwardes St (Reservoir),-37.7143332,144.9878244,bus
Newlands Rd/Edwardes St (Reservoir),-37.71400911,144.9846795,bus
177 Henty St (Reservoir),-37.71751675,144.9826898,bus
169 Henty St (Reservoir),-37.71771013,144.9845111,bus
